B1
B1_1 0 1 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_2 0 1 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_3 0 1 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_4 0 1 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_5 0 1 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_6 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_7 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_8 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_9 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_10 Compact 0   0 2
B1_11 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_12 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_13 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_14 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_15 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_16 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_17 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_18 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_19 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_20 Motorcycle 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_21 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_22 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_23 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_24 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_25 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_26 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_27 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_28 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_29 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B1_30 Handicapped 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
#
B2
B2_1 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_2 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_3 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_4 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_5 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_6 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_7 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_8 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_9 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
B2_10 Compact 0 -3689348814741910324 -858993460 -3689348814741910324 -858993460
#
